address,city,state,country,hotel_star_rating,latitude,longitude,pageurl,property_id,property_name,room_type,uniq_id
Kempty Falls. 248179 Mussoorie. India – Great location -,mussoorie,Uttarakhand,India,,30.48574648,78.03663969,http://www.booking.com/hotel/in/the-brigadiers-cottage.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1753424,The Brigadiers Cottage,Deluxe Double Room,7700130ef7a63c62327f26180bca3e38
954/7. 2nd main. 2nd cross. sheshadri iyer road. lakshmipuram. k r mohall. 570004 Mysore. India – Show map,mysore,Karnataka,India,,12.29977805,76.64007378,http://www.booking.com/hotel/in/spacious-and-yoga-friendly-apartment.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1757537,Spacious and yoga friendly apartment,Deluxe Double Room,63c774a1ca63d620837d7e1173c93e8d
Near Indrapastha Appartment. Near Gini Motors. West Boring Canal Road. 800001 Patna. India – Great location -,patna,Bihar,India,,25.61693659,85.12093638,http://www.booking.com/hotel/in/tirupati-garden.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747967,Tirupati Garden,Budget Double Room,f967469db2daf6800c1b7db0efa9f0a1
Valiyaparamb Colony. Meenkunnu Beach. Azhikode. 670009 Kannur. India – Show map,kannur,Kerala,India,,11.910015,75.32270685,http://www.booking.com/hotel/in/suchee-39-s-cliff-house.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1759409,Suchee's Cliff House,Budget Single Room,143477632ff0d9e3b18178a6b6335441
,candolim,Goa,India,4 stars,15.52756803,73.78263557,http://www.booking.com/hotel/in/gvr-117-penthouse-apartment-in-candolim.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,,,Mobile Home,73d7017075d6f3709a31a6bbe9b30c00
36.Quinton Road. 793001 Shillong. India – Show map,shillong,Meghalaya,India,,25.57854556,91.88286309,http://www.booking.com/hotel/in/sanskriti-guest-house.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1767992,Sanskriti Guest House,Budget Double Room,855e364dd3e1d1f3c8feeafcbca0da28
Opp. Hotel Park Gate No.9 Boulevard Road. Golden Dal Lake. 190001 Srinagar. India – Show map,srinagar,Jammu & Kashmir,India,,34.08541828,74.83620644,http://www.booking.com/hotel/in/appollo-eleven-group-of-houseboats.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1757278,Appollo Eleven Group of Houseboats,Budget Double Room,4a43b3e98a63e033a7ef3e17aac18ecd
Rajgarh Bylane No-9. House No 38. Pubsarania. Rajgarh. 781003 Guwahati. India – Great location -,guwahati,Assam,India,,26.17518458,91.77113315,http://www.booking.com/hotel/in/saikia-nest.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1748294,Saikia Nest,Budget Double Room,b95c96c6bb8a53df0c8d45673b1a8600
,kolkata,West Bengal,India,3-star hotel,22.56380242,88.37253713,http://www.booking.com/hotel/in/orion-west-willows.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,,,Deluxe King Room,03d0feea1c84a4df88eda96271966088
Opp to Zensar IT Park. Next to IDBI Bank. near Sai Srushti Soc. Kharadi. 411014 Kharadi. India – Show map,kharadi,Maharashtra,India,,18.54960301,73.94325614,http://www.booking.com/hotel/in/geeta-paradise.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1758790,Geeta Paradise,Deluxe Room,c6126baad3b2f972a9aa3d63b41a7bcc
