address,city,state,country,hotel_star_rating,per_day_price,latitude,longitude,pageurl,property_id,property_name,room_type,uniq_id
10/2/ Manoharpukur Road Kolkata. 700026 Ālīpur. India – Show map,Ālīpur,West Bengal,India,,3456,22.52208,88.348784,http://www.booking.com/hotel/in/oyo-rooms-rashbehari-manohar-pukur.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1663061,OYO Rooms Rashbehari Manohar Pukur,Deluxe Double Room,d6442ef41a8970f382c8b1087c10d6d0
Kamat Residency. Side Of Calangute Mall. Calangute Bardez Goa. 403516 Calangute. India – Show map,calangute,Goa,India,,2997,15.53426532,73.7652626,http://www.booking.com/hotel/in/luxury-apartment.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1688398,Luxury Apartment,Superior Apartment,f38a8ee0ec99c276d3133d5b08b5b539
Hotel Haveli Inn Pal.Near clock tower. Opposite gulab sagar. gulab sagar.Jodhpur. Rajastan-342001. 342001 Jodhpur. India – Show map,jodhpur,Rajasthan,India,,3193,26.296527,73.023848,http://www.booking.com/hotel/in/vista-rooms-at-gulab-sagar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1691771,Vista Rooms at Gulab Sagar,Standard Double Room,c81e04a4a76dbb8718199bde98445ef6
Hotel Haveli Inn Pal.Near clock tower. Opposite gulab sagar. gulab sagar.Jodhpur. Rajastan-342001. 342001 Jodhpur. India – Show map,jodhpur,Rajasthan,India,,3289,26.296527,73.023848,http://www.booking.com/hotel/in/vista-rooms-at-gulab-sagar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1691771,Vista Rooms at Gulab Sagar,Standard Double Room,1caa610f530f23443162126d4038fe4a
Opposite BBC Tower. Sayajigunj. Near Railway Station. 390020 Vadodara. India – Great location -,vadodara,Gujarat,India,3-star hotel,1199,22.30850175,73.18280563,http://www.booking.com/hotel/in/the-oasis.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,538171,The Oasis,Executive Room,938f656ef8bba27dc2b5a0a25dae76a8
Dal Lake Boulevard Road Ghat No. 7. 190001 Srinagar. India – Great location -,srinagar,Jammu & Kashmir,India,,2127,34.08347313,74.83516306,http://www.booking.com/hotel/in/movie-land.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1488673,Movie Land,Deluxe Double Room,5cf2c5824d7ec19aaad0ea67c3081176
Annapurna Haveli.Opposite Nawal Sagar Lake. Balchand Para Bundi (Raj) 323001. 323001 Būndi. India – Show map,būndi,Rajasthan,India,,2872,25.447606,75.632612,http://www.booking.com/hotel/in/vista-rooms-at-nawal-sagar-lake.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1691718,Vista Rooms at Nawal Sagar Lake,Deluxe Double Room (2 Adults + 1 Child),6457f95bf713e5e483246de8f2e86fd7
Near Narayani Shila Temple Devpura Chowk Haridwar. 249401 Kankhal. India – Show map,kankhal,Uttarakhand,India,,3450,29.94202,78.147441,http://www.booking.com/hotel/in/oyo-rooms-railway-station-1.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1663220,OYO Rooms Railway Station 1,Deluxe Double Room,8361c1bb025af347da3357cde47abfb1
Hotel Port View L-384 Extn Mahiapalpur. Mahipalpur. 110037 New Delhi. India – This neighbourhood is a great choice for travellers interested in history. food. and culture – Check location Show map,new delhi,Delhi NCR,India,,4311,28.54631684,77.12394565,http://www.booking.com/hotel/in/port-view.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1623224,Hotel Port View,Deluxe Double Room,0897eee6c1ecafe90593222cad548bbc
1. Belur Road. Near Biccaud Cross. Biccaud Hobli. 573115 Belūr. India – Show map,belūr,Karnataka,India,,2502,13.08735123,75.85582868,http://www.booking.com/hotel/in/green-pastures.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1487091,Green Pastures,Deluxe Double Room,0e5225317a97e985d22bdea6622d110a
